Packageid,HouseName,Facade,Brand,Storey,CarSpaces,Price,Study,Ensuite,BedRooms,BathRooms,LandSize,BlockType,HouseSize
221263,Carlton,Drysdale,Gen,Single,2,628740,0,1,3,2,478,Regular,178
221264,Carlton,Haring,Gen,Single,2,645400,0,1,4,2,478,Regular,206
221265,Kooyong,Arkley,Gen,Single,2,631460,0,1,3,2,478,Regular,182
221266,Kooyong,Nolan,Gen,Single,2,649620,0,1,4,2,478,Regular,211
221268,Parkville,Lakeland,Gen,Single,2,656900,0,1,4,2,478,Regular,208
221284,Ivanhoe,Dowd,Gen,Single,2,386380,0,1,3,2,565,Corner,207
221289,Ripponlea,Matisse,Gen,Double,2,603165,1,1,4,2,337,Regular,215
221290,Malvern,Woodland,Gen,Single,2,396240,0,1,4,2,569,Corner,234
221292,Kooyong,Drysdale,Gen,Single,2,385920,0,1,4,2,569,Corner,224
221294,Kensington,Drysdale,Gen,Single,2,570650,0,1,4,2,528,Irregular,213
221298,Oakleigh,Matisse,Gen,Double,2,598640,1,1,4,2,466,Irregular,204
221299,Canterbury,Drysdale,Gen,Single,2,686907,1,1,4,2,569,Corner,267
221305,Malvern,Drysdale,Gen,Single,2,697907,1,1,4,2,573,Corner,267
221313,Elwood,Condor,Gen,Double,2,611965,1,1,3,2,337,Regular,239
221315,Carlton,Arkley,Gen,Single,2,664500,0,1,4,2,442,Regular,218
221316,Carlton,Dowd,Gen,Single,2,678500,1,1,4,2,442,Regular,237
221317,Parkville,Woodland,Gen,Single,2,664100,0,1,4,2,440,Regular,208
221319,Kooyong,Haring,Gen,Single,2,657200,0,1,4,2,440,Regular,211
221331,Ashwood,Condor,Gen,Double,2,736500,1,1,4,2,425,Regular,298
221332,Ashwood,Monet,Gen,Double,2,768100,1,1,4,2,425,Regular,352
221333,Ashwood,Matisse,Gen,Double,2,792500,1,1,5,2,425,Regular,384
221334,Mckinnon,Heathland,Gen,Double,2,731200,1,1,3,2,425,Regular,259
221335,Mckinnon,Metropolitan,Gen,Double,2,764100,1,1,4,2,425,Regular,307
221336,Mckinnon,Urban,Gen,Double,2,771500,1,1,5,2,425,Regular,340
221340,Parkville,Alpine,Gen,Single,2,599590,0,1,4,2,517,Corner,208
221341,Spotswood,Drysdale,Gen,Single,2,619430,0,1,3,2,512,Regular,223
221342,Thornbury,Haring,Gen,Single,2,610150,0,1,4,2,500,Irregular,251
221343,Canterbury,Woodland,Gen,Single,2,626090,1,1,4,2,500,Irregular,267
221346,Macleod,Nolan,Gen,Single,2,808875,0,1,4,2,512,Regular,283
221398,Hawthorn,Condor,Gen,Double,2,723915,1,1,4,2,408,Corner,333
221402,Ripponlea,Condor,Gen,Double,2,573100,1,1,4,2,293,Regular,215
221405,Camberwell,Nolan,Gen,Single,1,481400,0,1,3,2,293,Regular,142
221409,Spotswood,Woodland,Gen,Single,2,817635,1,1,4,2,512,Regular,284
221413,Pierce,Felix,Elements,Single,2,836525,0,1,4,2,512,Regular,260
221424,Ripponlea,Condor,Gen,Double,2,573100,1,1,4,2,293,Regular,215
221425,Ripponlea,Matisse,Gen,Double,2,576100,1,1,4,2,293,Regular,215
221427,Ripponlea,Monet,Gen,Double,2,576100,1,1,4,2,293,Regular,215
221428,Camberwell,Dowd,Gen,Single,1,483400,0,1,3,2,293,Regular,142
221429,Camberwell,Drysdale,Gen,Single,1,478400,0,1,3,2,293,Regular,142
221430,Camberwell,Haring,Gen,Single,1,478400,0,1,3,2,293,Regular,142
221431,Camberwell,Laing,Gen,Single,1,481400,0,1,3,2,293,Regular,142
221432,Camberwell,Nolan,Gen,Single,1,481400,0,1,3,2,293,Regular,142
221439,Ripponlea,Condor,Gen,Double,2,698647,1,1,4,2,476,Corner,215
221440,Ripponlea,Condor,Gen,Double,2,703647,1,1,4,2,489,Corner,215
221463,Carlton,Haring,Gen,Single,2,582042,0,1,4,2,400,Regular,218
221481,Ashwood,Matisse,Gen,Double,2,726690,1,1,4,2,412,Regular,352
221482,Camberwell,Drysdale,Gen,Single,1,478400,0,1,3,2,293,Regular,142
221484,Ripponlea,Matisse,Gen,Double,2,576100,1,1,4,2,293,Regular,215
221512,Parkville,Sunseeker,Gen,Single,2,373912,0,1,4,2,620,Regular,208
221531,Ormond,Haring,Gen,Single,2,531920,1,1,4,2,485,Corner,263
221545,Clifton,Dowd,Gen,Single,1,480200,0,1,2,2,293,Regular,130
221547,Clifton,Drysdale,Gen,Single,1,475200,0,1,2,2,293,Regular,130
221548,Collingwood,Dowd,Gen,Single,2,337572,0,1,3,2,636,Corner,172
221549,Clifton,Haring,Gen,Single,1,475200,0,1,2,2,293,Regular,130
221550,Clifton,Laing,Gen,Single,1,478200,0,1,2,2,293,Regular,130
221552,Clifton,Nolan,Gen,Single,1,478200,0,1,2,2,293,Regular,130
221576,Strathmore,Arkley,Gen,Single,2,572710,1,1,4,2,450,Regular,268
221578,Thornbury,Arkley,Gen,Single,2,573060,0,1,4,2,450,Regular,251
221584,Hawthorn,Condor,Gen,Double,2,698550,1,1,5,2,450,Regular,476
221585,Ashwood,Condor,Gen,Double,2,681540,1,1,5,2,450,Regular,384
221597,Ripponlea,Condor,Gen,Double,2,573100,1,1,4,2,293,Regular,215
221598,Camberwell,Drysdale,Gen,Single,1,478400,0,1,3,2,293,Regular,142
221600,Clifton,Laing,Gen,Single,1,478200,0,1,2,2,293,Regular,130
221605,Collingwood,Haring,Gen,Single,2,464690,0,1,3,2,350,Regular,148
221606,Ripponlea,Condor,Gen,Double,2,552090,1,1,4,2,350,Regular,207
221621,Kooyong,Haring,Gen,Single,2,565280,0,1,3,2,364,Regular,182
221623,Cremorne,Nolan,Gen,Single,2,404590,0,1,4,2,2005,Irregular,172
221625,Bellfield,Arkley,Gen,Single,1,574280,0,1,4,2,388,Regular,184
221626,Carlton,Drysdale,Gen,Single,2,548710,0,1,3,2,336,Regular,178
221638,Ashwood,Matisse,Gen,Double,2,660660,1,1,5,2,375,Regular,384
221660,Spotswood,Alpine,Gen,Single,2,604900,1,1,4,2,512,Regular,284
221662,Portsea,Metropolitan,Gen,Double,2,729200,1,1,4,2,512,Regular,426
221663,Kooyong,Haring,Gen,Single,2,592910,0,1,4,2,400,Regular,239
221664,Macleod,Strider,Gen,Single,2,596600,0,1,4,2,512,Regular,283
221666,Ormond,Dowd,Gen,Single,2,593000,1,1,4,2,512,Regular,263
221667,Portsea,Urban,Gen,Double,2,724200,1,1,4,2,512,Regular,426
221668,Hawthorn,Condor,Gen,Double,2,683000,1,1,5,2,475,Regular,432
221670,Ormond,Arkley,Gen,Single,2,588000,1,1,4,2,512,Regular,263
221673,Canterbury,Alpine,Gen,Single,2,555190,0,1,4,2,448,Regular,234
221676,Spotswood,Lakeland,Gen,Single,2,608900,1,1,4,2,512,Regular,284
221677,Portsea,Teatree,Gen,Double,2,733200,1,1,4,2,512,Regular,426
221679,Osborne,Heathland,Gen,Double,2,721300,0,1,5,2,512,Regular,454
221682,Hawthorn,Monet,Gen,Double,2,725800,1,1,4,2,516,Irregular,333
221683,Albion,Condor,Gen,Double,1,549950,0,1,3,2,337,Irregular,161
221685,Carlton,Drysdale,Gen,Single,2,571900,0,1,3,2,404,Regular,178
221687,Kooyong,Drysdale,Gen,Single,2,574620,0,1,3,2,404,Regular,182
221698,Carlton,Dowd,Gen,Single,2,521410,1,1,4,2,485,Corner,237
221704,Sandringham,Haring,Gen,Single,2,671355,0,1,3,2,400,Regular,151
221707,Ashwood,Condor,Gen,Double,2,768955,1,1,4,2,400,Regular,241
221711,Bellfield,Nolan,Gen,Single,1,528865,0,1,4,2,336,Regular,184
221721,Bellfield,Nolan,Gen,Single,1,530600,0,1,4,2,336,Regular,184
221731,Ripponlea,Condor,Gen,Double,2,703547,1,1,4,2,489,Corner,215
221772,Carlton,Arkley,Gen,Single,2,603400,0,1,4,2,412,Regular,206
221785,Deepdene,Drysdale,Gen,Single,2,537220,0,1,4,2,607,Irregular,225
221804,Spotswood,Drysdale,Gen,Single,2,562780,0,1,3,2,444,Corner,223
221813,Portsea,Heathland,Gen,Double,2,674530,1,1,4,2,577,Corner,298
221822,Alphington,Arkley,Gen,Single,2,451510,0,1,3,2,313,Regular,153
221826,Hawthorn,Condor,Gen,Double,2,657140,1,1,4,2,450,Regular,395
221920,Canterbury,Drysdale,Gen,Single,2,372695,0,1,4,2,530,Regular,234
221921,Caulfield,Haring,Gen,Single,2,381415,0,1,4,2,530,Regular,249
221924,Macleod,Dowd,Gen,Single,2,763090,0,1,4,2,575,Regular,283
221925,Portsea,Metropolitan,Gen,Double,2,865190,1,1,4,2,512,Regular,426
221927,Hawthorn,Orana,Gen,Double,2,823390,1,1,5,2,448,Regular,432
221928,Pierce,Felix,Elements,Single,2,823290,0,1,4,2,682,Regular,284
221929,Portsea,Rainforest,Gen,Double,2,799972,1,1,4,2,539,Corner,298
221935,Sandringham,Haring,Gen,Single,2,640100,0,1,3,2,533,Corner,151
221937,Kooyong,Drysdale,Gen,Single,2,667800,0,1,4,2,533,Corner,211
221940,Ashwood,Orana,Gen,Double,2,763300,1,1,4,2,533,Corner,241
221941,Hawthorn,Matisse,Gen,Double,2,752030,1,1,5,2,571,Corner,432
221942,Macleod,Dowd,Gen,Single,2,661542,0,1,5,2,519,Regular,299
221943,Cremorne,Nolan,Gen,Single,2,651200,0,1,4,2,543,Corner,172
221945,Canterbury,Drysdale,Gen,Single,2,684900,0,1,4,2,543,Corner,250
221946,Hawthorn,Condor,Gen,Double,2,758400,1,1,4,2,543,Corner,333
221947,Collingwood,Arkley,Gen,Single,2,552912,0,1,3,2,463,Corner,172
221949,Spotswood,Sunseeker,Gen,Single,2,684500,0,1,3,2,528,Regular,223
221950,Ormond,Dowd,Gen,Single,2,700000,1,1,4,2,528,Regular,263
221951,Portsea,Heathland,Gen,Double,2,831200,1,1,4,2,528,Regular,426
221967,Sandringham,Drysdale,Gen,Single,2,863157,0,1,3,2,430,Corner,151
221969,Sandringham,Haring,Gen,Single,2,863157,0,1,3,2,430,Corner,151
221981,Malvern,Drysdale,Gen,Single,2,580240,0,1,4,2,544,Regular,234
221983,Carlton,Haring,Gen,Single,2,573990,0,1,4,2,544,Regular,218
221984,Ashwood,Condor,Gen,Double,2,965277,1,1,4,2,430,Corner,241
221987,Ashwood,Matisse,Gen,Double,2,968277,1,1,4,2,430,Corner,241
221990,Strathmore,Drysdale,Gen,Single,2,772035,0,1,4,2,550,Corner,251
221994,Carlton,Haring,Gen,Single,2,672100,0,1,4,2,533,Corner,218
221996,Williamstown,Dowd,Gen,Single,2,689000,0,1,4,2,543,Corner,251
221998,Northcote,Drysdale,Gen,Single,2,688100,0,1,4,2,528,Regular,250
222001,Canterbury,Alpine,Gen,Single,2,392201,0,1,4,2,512,Regular,234
222009,Sandringham,Nolan,Gen,Single,2,349373,0,1,3,2,512,Regular,151
222010,Carlton,Strider,Gen,Single,2,383413,0,1,4,2,512,Regular,218
222015,Caulfield,Dowd,Gen,Single,2,403625,0,1,4,2,576,Regular,249
222017,Highton,Attica,Elements,Single,2,462737,0,1,4,2,576,Regular,269
222019,Ripponlea,Condor,Gen,Double,2,599917,1,1,4,2,336,Regular,207
222021,Elwood,Condor,Gen,Double,2,630007,1,1,4,2,336,Regular,274
222025,Spotswood,Lakeland,Gen,Single,2,394289,0,1,3,2,576,Regular,223
222027,Alphington,Drysdale,Gen,Single,2,344397,0,1,3,2,484,Regular,158
222029,Thornbury,Arkley,Gen,Single,2,389825,0,1,4,2,484,Regular,251
222031,Elwood,Monet,Gen,Double,2,460949,1,1,3,2,576,Regular,239
222033,Kooyong,Laing,Gen,Single,2,385945,0,1,4,2,576,Regular,211
222035,Ripponlea,Condor,Gen,Double,2,937526,1,1,4,2,400,Regular,215
222036,Ripponlea,Matisse,Gen,Double,2,940526,1,1,4,2,400,Regular,215
222037,Ripponlea,Condor,Gen,Double,2,937526,1,1,4,2,400,Regular,215
222038,Ripponlea,Monet,Gen,Double,2,940526,1,1,4,2,400,Regular,215
222039,Caulfield,Strider,Gen,Single,2,441685,0,1,4,2,692,Regular,249
222045,Canterbury,Alpine,Gen,Single,2,393195,0,1,4,2,593,Irregular,234
222046,Ivanhoe,Arkley,Gen,Single,2,373935,0,1,3,2,593,Irregular,207
222055,Carlton,Drysdale,Gen,Single,2,378755,0,1,4,2,476,Regular,218
222056,Sandringham,Dowd,Gen,Single,2,347935,0,1,3,2,476,Regular,151
222057,Spotswood,Sunseeker,Gen,Single,2,436495,1,1,4,2,576,Regular,284
222082,Cremorne,Nolan,Gen,Single,2,575677,0,1,4,2,471,Regular,177
222085,Cremorne,Strider,Gen,Single,2,576177,0,1,4,2,471,Regular,177
222087,Carlton,Drysdale,Gen,Single,2,664900,0,1,3,2,512,Regular,178
222088,Thornbury,Nolan,Gen,Single,2,612077,0,1,4,2,471,Regular,251
222089,Thornbury,Strider,Gen,Single,2,612577,0,1,4,2,471,Regular,251
222090,Carlton,Haring,Gen,Single,2,681600,0,1,4,2,512,Regular,206
222091,Kooyong,Drysdale,Gen,Single,2,668000,0,1,3,2,512,Regular,182
222093,Kooyong,Arkley,Gen,Single,2,682200,0,1,4,2,512,Regular,211
222095,Parkville,Woodland,Gen,Single,2,689100,0,1,4,2,512,Regular,208
222096,Parkville,Alpine,Gen,Single,2,689100,0,1,4,2,512,Regular,208
222098,Ashwood,Matisse,Gen,Double,2,770500,1,1,4,2,512,Regular,298
222099,Ashwood,Monet,Gen,Double,2,799100,1,1,4,2,512,Regular,352
222100,Mckinnon,Heathland,Gen,Double,2,759200,1,1,3,2,512,Regular,259
222102,Mckinnon,Urban,Gen,Double,2,786100,1,1,4,2,512,Regular,307
222103,Fitzroy,Monet,Gen,Double,2,770500,1,1,4,2,457,Regular,323
222104,Fitzroy,Matisse,Gen,Double,2,797700,1,1,4,2,457,Regular,384
222106,Canterbury,Alpine,Gen,Single,2,695700,0,1,4,2,457,Regular,234
222107,Malvern,Lakeland,Gen,Single,2,701250,0,1,4,2,457,Regular,234
222109,Osborne,Heathland,Gen,Double,2,788600,1,1,4,2,457,Regular,352
222111,Osborne,Urban,Gen,Double,2,817100,0,1,5,2,457,Regular,416
222112,Hawthorn,Monet,Gen,Double,2,772800,1,1,4,2,468,Regular,333
222113,Hawthorn,Condor,Gen,Double,2,800100,1,1,4,2,468,Regular,395
222114,Canterbury,Drysdale,Gen,Single,2,703300,0,1,4,2,468,Regular,250
222115,Thornbury,Drysdale,Gen,Single,2,702400,0,1,4,2,468,Regular,251
222116,Deepdene,Haring,Gen,Single,2,702400,0,1,4,2,468,Regular,246
222117,Caulfield,Drysdale,Gen,Single,2,692700,0,1,4,2,468,Regular,231
222118,Caulfield,Drysdale,Gen,Single,2,722000,0,1,3,2,544,Corner,207
222119,Ivanhoe,Dowd,Gen,Single,2,365385,0,1,3,2,490,Corner,207
222120,Deepdene,Haring,Gen,Single,2,730500,0,1,4,2,544,Corner,225
222121,Templestowe,Drysdale,Gen,Single,2,380065,1,1,4,2,490,Corner,240
222122,Hawthorn,Matisse,Gen,Double,2,812800,1,1,4,2,544,Corner,333
222123,Osborne,Heathland,Gen,Double,2,830600,1,1,4,2,544,Corner,352
222125,Macleod,Dowd,Gen,Single,2,718000,0,1,4,2,512,Regular,238
222127,Macleod,Haring,Gen,Single,2,725200,0,1,4,2,512,Regular,266
222128,Spotswood,Drysdale,Gen,Single,2,705000,0,1,3,2,512,Regular,223
222129,Spotswood,Woodland,Gen,Single,2,743900,1,1,4,2,512,Regular,284
222130,Canterbury,Sunseeker,Gen,Single,2,370995,0,1,4,2,448,Regular,234
222133,Caulfield,Arkley,Gen,Single,2,370165,0,1,4,2,448,Regular,249
222137,Ashwood,Condor,Gen,Double,2,461235,1,1,4,2,416,Regular,352
222143,Camberwell,Laing,Gen,Single,1,332675,1,1,4,2,416,Regular,174
222146,Spotswood,Woodland,Gen,Single,2,415545,1,1,4,2,571,Corner,284
222147,Highton,Noma,Elements,Single,2,446905,0,1,4,2,571,Corner,269
222154,Kooyong,Drysdale,Gen,Single,2,574620,0,1,3,2,404,Regular,182
222157,Ashwood,Monet,Gen,Double,2,682690,1,1,4,2,404,Regular,298
222160,Hawthorn,Monet,Gen,Double,2,686500,1,1,4,2,404,Regular,333
222168,Sandringham,Arkley,Gen,Single,2,531247,0,1,3,2,467,Irregular,151
222169,Ripponlea,Matisse,Gen,Double,2,619627,1,1,4,2,467,Irregular,215
222170,Hawthorn,Monet,Gen,Double,2,656187,1,1,4,2,467,Irregular,333
222171,Cremorne,Dowd,Gen,Single,2,548927,0,1,4,2,467,Irregular,177
222200,Spotswood,Alpine,Gen,Single,2,472673,1,1,4,2,2005,Irregular,284
222206,Bellfield,Arkley,Gen,Single,1,515460,0,1,4,2,336,Regular,184
222207,Elwood,Condor,Gen,Double,2,620060,1,1,4,2,336,Regular,274
222208,Camberwell,Drysdale,Gen,Single,1,501900,1,1,4,2,336,Regular,174
222209,Camberwell,Drysdale,Gen,Single,1,501900,1,1,4,2,336,Regular,174
222210,Camberwell,Drysdale,Gen,Single,1,513360,1,1,4,2,336,Regular,174
222214,Caulfield,Haring,Gen,Single,2,577220,0,1,3,2,364,Regular,207
222216,Ashwood,Matisse,Gen,Double,2,680030,1,1,4,2,364,Regular,298
222220,Hawthorn,Condor,Gen,Double,2,673880,1,1,4,2,364,Regular,333
222221,Bellfield,Drysdale,Gen,Single,1,574280,0,1,4,2,388,Regular,184
222223,Elwood,Monet,Gen,Double,2,703040,1,1,4,2,388,Regular,312
222225,Carlton,Haring,Gen,Single,2,548710,0,1,3,2,336,Regular,178
222226,Ashwood,Matisse,Gen,Double,2,660030,1,1,4,2,336,Regular,298
222230,Fitzroy,Condor,Gen,Double,2,654500,1,1,4,2,364,Regular,323
222231,Fitzroy,Condor,Gen,Double,2,675120,1,1,4,2,364,Regular,323
222232,Osborne,Urban,Gen,Double,2,693770,1,1,4,2,364,Regular,352
222244,Parkville,Drysdale,Gen,Single,2,502540,0,1,4,2,350,Regular,208
222251,Cremorne,Drysdale,Gen,Single,2,348760,0,1,4,2,560,Irregular,172
222278,Ivanhoe,Drysdale,Gen,Single,2,487100,0,1,3,2,350,Regular,179
222279,Camberwell,Drysdale,Gen,Single,1,658697,0,1,3,2,494,Corner,142
222280,Collingwood,Drysdale,Gen,Single,2,664097,0,1,3,2,494,Corner,148
222281,Carlton,Drysdale,Gen,Single,2,679657,0,1,3,2,494,Corner,178
222282,Ivanhoe,Drysdale,Gen,Single,2,677857,0,1,3,2,494,Corner,179
